Currency,Currency Code
AUD - Australia Dollar,AUD
GBP - Great Britain Pound,GBP
EUR - Euro,EUR
JPY - Japan Yen,JPY
CHF - Switzerland Franc,CHF
USD - USA Dollar,USD
AFN - Afghanistan Afghani,AFN
ALL - Albania Lek,ALL
DZD - Algeria Dinar,DZD
AOA - Angola Kwanza,AOA
ARS - Argentina Peso,ARS
AMD - Armenia Dram,AMD
AWG - Aruba Florin,AWG
ATS (EURO) - Austria Schilling,ATS
BEF (EURO) - Belgium Franc,BEF
AZN - Azerbaijan New Manat,AZN
BSD - Bahamas Dollar,BSD
BHD - Bahrain Dinar,BHD
BDT - Bangladesh Taka,BDT
BBD - Barbados Dollar,BBD
BYR - Belarus Ruble,BYR
BZD - Belize Dollar,BZD
BMD - Bermuda Dollar,BMD
BTN - Bhutan Ngultrum,BTN
BOB - Bolivia Boliviano,BOB
BAM - Bosnia Mark,BAM
BWP - Botswana Pula,BWP
BRL - Brazil Real,BRL
BND - Brunei Dollar,BND
BGN - Bulgaria Lev,BGN
BIF - Burundi Franc,BIF
XOF - CFA Franc BCEAO,XOF
XAF - CFA Franc BEAC,XAF
XPF - CFP Franc,XPF
KHR - Cambodia Riel,KHR
CAD - Canada Dollar,CAD
CVE - Cape Verde Escudo,CVE
KYD - Cayman Islands Dollar,KYD
CLP - Chili Peso,CLP
CNY - China Yuan/Renminbi,CNY
COP - Colombia Peso,COP
KMF - Comoros Franc,KMF
CDF - Congo Franc,CDF
CRC - Costa Rica Colon,CRC
HRK - Croatia Kuna,HRK
CUC - Cuba Convertible Peso,CUC
CUP - Cuba Peso,CUP
CYP (EURO) - Cyprus Pound,CYP
CZK - Czech Koruna,CZK
DKK - Denmark Krone,DKK
DJF - Djibouti Franc,DJF
DOP - Dominican Republich Peso,DOP
XCD - East Caribbean Dollar,XCD
EGP - Egypt Pound,EGP
SVC - El Salvador Colon,SVC
EEK (EURO) - Estonia Kroon,EEK
ETB - Ethiopia Birr,ETB
FKP - Falkland Islands Pound,FKP
FIM (EURO) - Finland Markka,FIM
FJD - Fiji Dollar,FJD
GMD - Gambia Dalasi,GMD
GEL - Georgia Lari,GEL
DMK (EURO) - Germany Mark,DMK
GHS - Ghana New Cedi,GHS
GIP - Gibraltar Pound,GIP
GRD (EURO) - Greece Drachma,GRD
GTQ - Guatemala Quetzal,GTQ
GNF - Guinea Franc,GNF
GYD - Guyana Dollar,GYD
HTG - Haiti Gourde,HTG
